date,agent_id,program,channel,shift,work_mode,status
2026-07-06,A1066,RetailVoice,voice,13:30-22:30,Office,Leave
2026-07-06,A1067,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1068,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1071,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1072,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1075,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1077,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1078,RetailVoice,voice,13:30-22:30,WFH,Working
2026-07-06,A1079,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1080,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1081,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1086,RetailVoice,voice,14:00-23:00,Office,Training
2026-07-06,A1087,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1090,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1092,RetailVoice,voice,09:00-18:00,WFH,Leave
2026-07-06,A1093,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1094,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1095,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1097,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1098,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1099,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1100,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1102,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1103,RetailVoice,voice,22:00-07:00,WFH,Working
2026-07-06,A1104,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1105,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1107,RetailVoice,voice,09:00-18:00,WFH,Working
2026-07-06,A1108,RetailVoice,voice,06:00-15:00,Office,Leave
2026-07-06,A1109,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1110,RetailVoice,voice,13:30-22:30,WFH,Working
2026-07-06,A1114,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1115,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1116,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1117,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1118,RetailVoice,voice,09:00-18:00,Office,Leave
2026-07-06,A1121,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1123,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1124,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1127,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1128,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1129,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1131,RetailVoice,voice,22:00-07:00,Office,Training
2026-07-06,A1132,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1133,RetailVoice,voice,09:00-18:00,Office,Leave
2026-07-06,A1134,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1135,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1137,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1141,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1143,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1144,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1145,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1148,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1149,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1150,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1153,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1154,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1155,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1156,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1157,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1158,RetailVoice,voice,14:00-23:00,Office,Leave
2026-07-06,A1159,RetailVoice,voice,14:00-23:00,Office,Training
2026-07-06,A1160,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1162,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1163,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1164,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1165,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1167,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1168,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1169,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1170,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1171,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1175,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1176,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1179,RetailVoice,voice,14:00-23:00,WFH,Working
2026-07-06,A1181,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1183,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1184,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1185,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1186,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1187,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1188,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1189,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1190,RetailVoice,voice,22:00-07:00,Office,Leave
2026-07-06,A1192,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1193,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1194,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1195,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1196,RetailVoice,voice,13:30-22:30,Office,Leave
2026-07-06,A1197,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1198,RetailVoice,voice,06:00-15:00,WFH,Working
2026-07-06,A1199,RetailVoice,voice,09:00-18:00,Office,Training
2026-07-06,A1201,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1203,RetailVoice,voice,06:00-15:00,Office,Leave
2026-07-06,A1205,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1206,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1207,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1208,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1212,RetailVoice,voice,06:00-15:00,WFH,Working
2026-07-06,A1216,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1217,RetailVoice,voice,06:00-15:00,WFH,Working
2026-07-06,A1218,RetailVoice,voice,22:00-07:00,Office,Leave
2026-07-06,A1219,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1220,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1221,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1222,RetailVoice,voice,13:30-22:30,WFH,Leave
2026-07-06,A1224,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1225,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1227,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1228,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1229,RetailVoice,voice,06:00-15:00,Office,Leave
2026-07-06,A1230,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1233,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1236,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1237,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1238,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1239,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1240,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1241,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1243,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1244,RetailVoice,voice,13:30-22:30,Office,Leave
2026-07-06,A1246,RetailVoice,voice,13:30-22:30,Office,Leave
2026-07-06,A1247,RetailVoice,voice,09:00-18:00,Office,Training
2026-07-06,A1248,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1250,RetailVoice,voice,13:30-22:30,WFH,Working
2026-07-06,A1251,RetailVoice,voice,22:00-07:00,WFH,Working
2026-07-06,A1252,RetailVoice,voice,13:30-22:30,WFH,Working
2026-07-06,A1253,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1254,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1255,RetailVoice,voice,14:00-23:00,Office,Training
2026-07-06,A1256,RetailVoice,voice,14:00-23:00,Office,Leave
2026-07-06,A1257,RetailVoice,voice,06:00-15:00,WFH,Working
2026-07-06,A1259,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1261,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1262,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1263,RetailVoice,voice,06:00-15:00,Office,Leave
2026-07-06,A1264,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1265,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1266,RetailVoice,voice,09:00-18:00,Office,Leave
2026-07-06,A1267,RetailVoice,voice,06:00-15:00,WFH,Working
2026-07-06,A1268,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1269,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1271,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1274,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1278,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1279,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1280,RetailVoice,voice,06:00-15:00,Office,Leave
2026-07-06,A1281,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1284,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1285,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1286,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1287,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1289,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1290,RetailVoice,voice,14:00-23:00,WFH,Working
2026-07-06,A1291,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1292,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1294,RetailVoice,voice,14:00-23:00,WFH,Working
2026-07-06,A1295,RetailVoice,voice,22:00-07:00,WFH,Working
2026-07-06,A1296,RetailVoice,voice,22:00-07:00,WFH,Working
2026-07-06,A1298,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1299,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1300,RetailVoice,voice,14:00-23:00,WFH,Working
2026-07-06,A1301,RetailVoice,voice,06:00-15:00,WFH,Leave
2026-07-06,A1302,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1304,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1305,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1306,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1307,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1308,RetailVoice,voice,09:00-18:00,WFH,Working
2026-07-06,A1309,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1311,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1312,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1313,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1314,RetailVoice,voice,09:00-18:00,WFH,Working
2026-07-06,A1316,RetailVoice,voice,09:00-18:00,WFH,Working
2026-07-06,A1317,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1320,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1321,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1323,RetailVoice,voice,13:30-22:30,WFH,Leave
2026-07-06,A1324,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1325,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1326,RetailVoice,voice,14:00-23:00,WFH,Working
2026-07-06,A1327,RetailVoice,voice,13:30-22:30,WFH,Working
2026-07-06,A1329,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1330,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1331,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1333,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1335,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1336,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1338,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1339,RetailVoice,voice,22:00-07:00,WFH,Working
2026-07-06,A1340,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1341,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1342,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1343,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1345,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1346,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1347,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1348,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1349,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1350,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1351,RetailVoice,voice,06:00-15:00,WFH,Working
2026-07-06,A1352,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1353,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1354,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1355,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1356,RetailVoice,voice,14:00-23:00,WFH,Working
2026-07-06,A1359,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1360,RetailVoice,voice,22:00-07:00,WFH,Working
2026-07-06,A1361,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1362,RetailVoice,voice,06:00-15:00,WFH,Working
2026-07-06,A1363,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1364,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1365,RetailVoice,voice,09:00-18:00,WFH,Leave
2026-07-06,A1366,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1369,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1371,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1372,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1374,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1375,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1376,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1379,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1381,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1382,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1384,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1385,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1386,RetailVoice,voice,14:00-23:00,Office,Training
2026-07-06,A1387,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1388,RetailVoice,voice,06:00-15:00,Office,Leave
2026-07-06,A1389,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1391,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1393,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1394,RetailVoice,voice,06:00-15:00,WFH,Working
2026-07-06,A1395,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1397,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1398,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1399,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1400,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1401,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1405,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1407,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1408,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1409,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1410,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1411,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1412,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1413,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1414,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1419,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-07,A1000,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-07,A1001,RetailVoice,voice,09:00-18:00,WFH,Training
2026-07-07,A1002,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-07,A1003,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1005,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-07,A1006,RetailVoice,voice,14:00-23:00,WFH,Working
2026-07-07,A1009,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1010,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1011,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-07,A1012,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1013,RetailVoice,voice,14:00-23:00,WFH,Working
2026-07-07,A1014,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1015,RetailVoice,voice,09:00-18:00,WFH,Working
2026-07-07,A1019,RetailVoice,voice,13:30-22:30,Office,Training
2026-07-07,A1020,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-07,A1021,RetailVoice,voice,09:00-18:00,WFH,Working
2026-07-07,A1022,RetailVoice,voice,22:00-07:00,WFH,Working
2026-07-07,A1023,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-07,A1026,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1027,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1029,RetailVoice,voice,13:30-22:30,WFH,Working
2026-07-07,A1031,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-07,A1032,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1033,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1034,RetailVoice,voice,13:30-22:30,WFH,Working
2026-07-07,A1036,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1037,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1038,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1039,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1040,RetailVoice,voice,09:00-18:00,WFH,Training
2026-07-07,A1042,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-07,A1044,RetailVoice,voice,14:00-23:00,WFH,Working
2026-07-07,A1045,RetailVoice,voice,14:00-23:00,WFH,Working
2026-07-07,A1046,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1047,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1048,RetailVoice,voice,13:30-22:30,WFH,Working
2026-07-07,A1049,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1051,RetailVoice,voice,06:00-15:00,Office,Leave
2026-07-07,A1054,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-07,A1057,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1059,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1061,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1062,RetailVoice,voice,13:30-22:30,WFH,Working
2026-07-07,A1064,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1065,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1066,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1067,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1068,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1069,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1070,RetailVoice,voice,09:00-18:00,Office,Leave
2026-07-07,A1071,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1074,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1075,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1077,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1078,RetailVoice,voice,13:30-22:30,WFH,Working
2026-07-07,A1079,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-07,A1080,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1081,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1082,RetailVoice,voice,14:00-23:00,Office,Leave
2026-07-07,A1083,RetailVoice,voice,06:00-15:00,Office,Leave
2026-07-07,A1084,RetailVoice,voice,06:00-15:00,Office,Leave
2026-07-07,A1085,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1088,RetailVoice,voice,06:00-15:00,WFH,Leave
2026-07-07,A1093,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1095,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1098,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1099,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-07,A1102,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1103,RetailVoice,voice,22:00-07:00,WFH,Working
2026-07-07,A1104,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-07,A1105,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-07,A1106,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1107,RetailVoice,voice,09:00-18:00,WFH,Working
2026-07-07,A1108,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1109,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-07,A1112,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1113,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1114,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1115,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-07,A1116,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-07,A1117,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-07,A1118,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1120,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1122,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1123,RetailVoice,voice,09:00-18:00,Office,Training
2026-07-07,A1126,RetailVoice,voice,09:00-18:00,Office,Leave
2026-07-07,A1127,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1128,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1129,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1131,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-07,A1132,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1133,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1134,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1135,RetailVoice,voice,06:00-15:00,Office,Leave
2026-07-07,A1137,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1139,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1141,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1142,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-07,A1143,RetailVoice,voice,13:30-22:30,Office,Leave
2026-07-07,A1144,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1146,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-07,A1149,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1150,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-07,A1152,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-07,A1153,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-07,A1154,RetailVoice,voice,06:00-15:00,Office,Working
