country,city,site,building,tower,floor,zone,zone_type,seat_id,x_mm,y_mm,desk_size_mm,seat_status,trapped_reason
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-027,18461.4,59860.4,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-028,19470.0,59860.4,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-029,11990.2,59831.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-030,14124.5,57835.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-031,15182.2,57835.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-032,16192.6,57835.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-033,17193.9,57835.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-034,18215.4,57835.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-035,19160.1,57835.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-036,11629.5,57718.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-037,14427.1,57136.5,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-038,15435.7,57136.5,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-039,16454.0,57136.5,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-040,17460.2,57136.5,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-041,18461.4,57136.5,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-042,19470.0,57136.5,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-043,11629.5,56709.5,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-044,11629.5,55708.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-045,14124.5,55111.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-046,15182.2,55111.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-047,16192.6,55111.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-048,17193.9,55111.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-049,18215.4,55111.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-050,19160.1,55111.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-051,11629.5,54707.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-052,16472.5,54405.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-053,14427.1,54405.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-054,15435.7,54405.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-055,17460.2,54405.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-056,18461.4,54405.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-057,19119.1,54404.4,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-058,11629.5,53683.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-059,11629.5,52675.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-060,14124.5,52373.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-061,15182.2,52373.3,1000x600,trapped,it_not_ready
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-062,16192.6,52373.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-063,17193.9,52373.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-064,18215.4,52373.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-065,19160.1,52373.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-066,14427.1,51681.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-067,15435.7,51681.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-068,16454.0,51681.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-069,17460.2,51681.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-070,18461.4,51681.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-071,19470.0,51681.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-072,11629.5,51673.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-073,14124.5,49656.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-074,15182.2,49656.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-075,16192.6,49656.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-076,17193.9,49656.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-077,18215.4,49656.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-078,19160.1,49656.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-079,11482.3,49303.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-080,14427.1,48964.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-081,15435.7,48964.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-082,16454.0,48964.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-083,17460.2,48964.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-084,18461.4,48964.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-085,19470.0,48964.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-086,11482.3,48294.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-087,11482.3,47293.5,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-088,14124.5,46932.8,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-089,15182.2,46932.8,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-090,16192.6,46932.8,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-091,17193.9,46932.8,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-092,18215.4,46932.8,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-093,19160.1,46932.8,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-094,11482.3,46292.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-095,14427.1,46240.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-096,15435.7,46240.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-097,16454.0,46240.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-098,17460.2,46240.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-099,18461.4,46240.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-100,19470.0,46240.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-101,11482.3,45283.7,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-102,11482.3,44260.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-103,14124.5,44216.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-104,15182.2,44216.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-105,16192.6,44216.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-106,17193.9,44216.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-107,18215.4,44216.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-108,19160.1,44216.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-109,14427.1,43524.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-110,15435.7,43524.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-111,16454.0,43524.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-112,17460.2,43524.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-113,18461.4,43524.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-114,19470.0,43524.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-115,11423.4,43244.4,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-116,14124.5,41499.6,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-117,15182.2,41499.6,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-118,16192.6,41499.6,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-119,17193.9,41499.6,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-120,18215.4,41499.6,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-121,19160.1,41499.6,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-122,14427.1,40800.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-123,15435.7,40800.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-124,16454.0,40800.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-125,17460.2,40800.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-126,18461.4,40800.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-127,19470.0,40800.2,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-128,11423.4,40476.3,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-129,11423.4,39475.0,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-130,11423.4,38466.4,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-131,14195.7,38238.2,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-132,15273.3,38238.2,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-133,16274.5,38238.2,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-134,17157.6,38238.2,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-135,18181.5,38238.2,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-136,19190.1,38238.2,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-001,33281.0,68415.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-002,34282.2,68357.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-003,35290.9,68308.8,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-004,36291.9,68265.4,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-005,37293.3,68209.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-006,38316.6,68173.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-007,39325.0,68118.4,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-008,32360.9,65867.8,1200x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-009,33531.4,65816.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-010,34532.7,65816.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-011,35533.9,65816.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-012,36535.1,65816.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-013,37536.4,65816.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-014,38537.6,65816.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-015,33516.7,65330.4,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-016,34525.3,65315.7,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-017,35526.6,65315.7,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-018,36527.8,65315.7,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-019,37529.0,65315.7,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-020,38530.2,65315.7,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-021,32360.9,65205.2,1200x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-022,41445.6,64815.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-023,41467.7,63718.1,1200x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-024,32405.1,62930.4,1200x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-025,33553.5,62878.8,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-026,34554.8,62878.8,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-027,35556.0,62878.8,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-028,36557.2,62878.8,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-029,37558.5,62878.8,1000x600,trapped,it_not_ready
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-030,38559.7,62878.8,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-031,41467.7,62510.7,1200x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-032,33538.8,62393.0,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-033,34547.4,62385.6,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-034,35548.6,62385.6,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-035,36549.9,62385.6,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-036,37551.1,62385.6,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-037,38552.3,62385.6,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-038,32405.1,62267.8,1200x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-039,41467.7,61288.7,1200x600,trapped,it_not_ready
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-040,41445.6,60177.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-041,33575.6,59956.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-042,34576.9,59956.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-043,35578.1,59956.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-044,36579.3,59956.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-045,37580.5,59956.1,1000x600,trapped,it_not_ready
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-046,38581.8,59956.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-047,33560.9,59462.9,1000x500,trapped,it_not_ready
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-048,34569.5,59455.5,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-049,35570.7,59455.5,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-050,36572.0,59455.5,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-051,37573.2,59455.5,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-052,38574.4,59455.5,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-053,32544.9,57092.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-054,33597.7,57026.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-055,34598.9,57026.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-056,35600.2,57026.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-057,36601.4,57026.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-058,37602.6,57026.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-059,38611.2,57026.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-060,33583.0,56532.8,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-061,34591.6,56525.4,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-062,35592.8,56525.4,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-063,36594.0,56525.4,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-064,37595.3,56525.4,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-065,38596.5,56525.4,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-066,32427.2,56415.0,1200x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-067,33627.2,53484.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-068,34628.4,53484.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-069,35629.6,53484.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-070,36630.9,53484.9,1000x600,trapped,it_not_ready
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-071,37632.1,53484.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-072,38633.3,53484.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-073,33612.4,52999.0,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-074,34613.7,52991.7,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-075,35614.9,52991.7,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-076,36616.1,52991.7,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-077,37624.7,52991.7,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-078,38626.0,52991.7,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-079,33656.6,50657.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-080,34657.8,50657.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-081,35659.1,50657.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-082,36660.3,50657.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23C,Production,T1-23F-23C-083,37661.5,50657.9,1000x600,usable,
